"Year","Quantity","Assessment_Year","Value"
1940,"SSB (MT)","2023",100314
1941,"SSB (MT)","2023",98098.6
1942,"SSB (MT)","2023",96108.7
1943,"SSB (MT)","2023",93808.2
1944,"SSB (MT)","2023",91482.7
1945,"SSB (MT)","2023",89051
1946,"SSB (MT)","2023",86551.2
1947,"SSB (MT)","2023",83796.1
1948,"SSB (MT)","2023",82083.1
1949,"SSB (MT)","2023",80352
1950,"SSB (MT)","2023",78747
1951,"SSB (MT)","2023",77467.9
1952,"SSB (MT)","2023",75588.8
1953,"SSB (MT)","2023",74611.3
1954,"SSB (MT)","2023",74361.2
1955,"SSB (MT)","2023",74136.3
1956,"SSB (MT)","2023",74272
1957,"SSB (MT)","2023",74305.2
1958,"SSB (MT)","2023",74779.5
1959,"SSB (MT)","2023",76287.8
1960,"SSB (MT)","2023",78047
1961,"SSB (MT)","2023",79983.7
1962,"SSB (MT)","2023",82854.8
1963,"SSB (MT)","2023",85995.6
1964,"SSB (MT)","2023",89591.5
1965,"SSB (MT)","2023",93355.3
1966,"SSB (MT)","2023",97426.6
